"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.territoiresentransitions.fr/104.22.79.190","443","INFO","HTTP","",""
"pre_128cipher","www.territoiresentransitions.fr/104.22.79.190","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.territoiresentransitions.fr/104.22.79.190","443","OK","not offered","",""
"SSLv3","www.territoiresentransitions.fr/104.22.79.190","443","OK","not offered","",""
"TLS1","www.territoiresentransitions.fr/104.22.79.190","443","INFO","not offered","",""
"TLS1_1","www.territoiresentransitions.fr/104.22.79.190","443","INFO","not offered","",""
"TLS1_2","www.territoiresentransitions.fr/104.22.79.190","443","OK","offered","",""
"TLS1_3","www.territoiresentransitions.fr/104.22.79.190","443","OK","offered with final","",""
"ALPN_HTTP2","www.territoiresentransitions.fr/104.22.79.190","443","OK","h2","",""
"ALPN","www.territoiresentransitions.fr/104.22.79.190","443","INFO","http/1.1","",""
"cipherlist_NULL","www.territoiresentransitions.fr/104.22.79.190","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.territoiresentransitions.fr/104.22.79.190","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.territoiresentransitions.fr/104.22.79.190","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.territoiresentransitions.fr/104.22.79.190","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.territoiresentransitions.fr/104.22.79.190","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.territoiresentransitions.fr/104.22.79.190","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.territoiresentransitions.fr/104.22.79.190","443","OK","offered","",""
"cipherlist_STRONG_FS","www.territoiresentransitions.fr/104.22.79.190","443","OK","offered","",""
"cipher_order-tls1_2","www.territoiresentransitions.fr/104.22.79.190","443","OK","server","",""
"cipherorder_TLSv1_2","www.territoiresentransitions.fr/104.22.79.190","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","www.territoiresentransitions.fr/104.22.79.190","443","OK","server -- TLS 1.3 client determined","",""
"FS","www.territoiresentransitions.fr/104.22.79.190","443","OK","offered","",""
"FS_ciphers","www.territoiresentransitions.fr/104.22.79.190","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES128-SHA256 ECDHE-ECDSA-AES128-SHA ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES256-SHA384 ECDHE-ECDSA-AES256-SHA ECDHE-ECDSA-CHACHA20-POLY1305-OLD ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CHACHA20-POLY1305-OLD","",""
"FS_ECDHE_curves","www.territoiresentransitions.fr/104.22.79.190","443","OK","prime256v1","",""
"TLS_extensions","www.territoiresentransitions.fr/104.22.79.190","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'next protocol/#13172' 'key share/#51' 'supported versions/#43' 'extended master secret/#23' 'application layer protocol negotiation/#16' 'compress_certificate/#27'","",""
"TLS_session_ticket","www.territoiresentransitions.fr/104.22.79.190","443","INFO","valid for 64800 seconds only (<daily)","",""
"SSL_sessionID_support","www.territoiresentransitions.fr/104.22.79.190","443","INFO","yes","",""
"sessionresumption_ticket","www.territoiresentransitions.fr/104.22.79.190","443","INFO","supported","",""
"sessionresumption_ID","www.territoiresentransitions.fr/104.22.79.190","443","INFO","not supported","",""
"TLS_timestamp","www.territoiresentransitions.fr/104.22.79.190","443","INFO","random","",""
"certificate_compression","www.territoiresentransitions.fr/104.22.79.190","443","INFO","0002/Brotli","",""
"clientAuth","www.territoiresentransitions.fr/104.22.79.190","443","INFO","none","",""
"cert_numbers","www.territoiresentransitions.fr/104.22.79.190","443","INFO","2","",""
"cert_signatureAlgorithm <hostCert#1>","www.territoiresentransitions.fr/104.22.79.190","443","OK","SHA256 with RSA","",""
"cert_keySize <hostCert#1>","www.territoiresentransitions.fr/104.22.79.190","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage <hostCert#1>","www.territoiresentransitions.fr/104.22.79.190","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage <hostCert#1>","www.territoiresentransitions.fr/104.22.79.190","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber <hostCert#1>","www.territoiresentransitions.fr/104.22.79.190","443","INFO","1618303D2DF2409D0D77E5A8DFEF7BF5","",""
"cert_serialNumberLen <hostCert#1>","www.territoiresentransitions.fr/104.22.79.190","443","INFO","16","",""
"cert_fingerprintSHA1 <hostCert#1>","www.territoiresentransitions.fr/104.22.79.190","443","INFO","F68E86617A0A577FC92D830C2DD8EC2798D58B01","",""
"cert_fingerprintSHA256 <hostCert#1>","www.territoiresentransitions.fr/104.22.79.190","443","INFO","3BD52C0460DAFE654A851387332F091197852ACEE5C8FA4F1D64DBCEC0C79615","",""
"cert <hostCert#1>","www.territoiresentransitions.fr/104.22.79.190","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFSDCCBDCgAwIBAgIQFhgwPS3yQJ0Nd+Wo3+979TANBgkqhkiG9w0BAQsFADA7MQswCQYDVQQGEwJVUzEeMBwGA1UEChMVR29vZ2xlIFRydXN0IFNlcnZpY2VzMQwwCgYDVQQDEwNXUjEwHhcNMjQwODEwMDMxMTA5WhcNMjQxMTA4MDMxMTA4WjAqMSgwJgYDVQQDEx93d3cudGVycml0b2lyZXNlbnRyYW5zaXRpb25zLmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAp16eQQ8iVkqZ/67IpDN+iboca1yrzfbGyCdGG+hTl4DPqUhxMTHDt7g/QnwAoIQbunxSbeVHnbGaEUUBkq3Jq6DaLfCkrLD92AJ5mI5dCblFHZptMaTE8FRyJIsQC1wseaYeJ2amfHHZRF1N+cdWc+KxsRObSARvpz7hhxJIFeKmtFypAjdgAB04gOp3TU9QialopmDrpPRPUQoepljxZwR4kEXaBKX4VXXA7IeC2AJY0MMEHPybXEhK86YXbHfzjM/VXJOHrqaRG50yIIyGbMH4FXToGjFH3oewIjRKs2ZVRgfcunm00oxuX9CVr0YrweMYy5zIzoPWGuB9z/MwHQIDAQABo4ICVzCCAlMwDgYDVR0PAQH/BAQDAgWgMBMGA1UdJQQMMAoGCCsGAQUFBwMBMAwGA1UdEwEB/wQCMAAwHQYDVR0OBBYEFGI/sLiSxdXWWyQrLeMb+bgjgQU8MB8GA1UdIwQYMBaAFGZpSdTeKpyRA8+JDiS4DjADboguMF4GCCsGAQUFBwEBBFIwUDAnBggrBgEFBQcwAYYbaHR0cDovL28ucGtpLmdvb2cvcy93cjEvRmhnMCUGCCsGAQUFBzAChhlodHRwOi8vaS5wa2kuZ29vZy93cjEuY3J0MCoGA1UdEQQjMCGCH3d3dy50ZXJyaXRvaXJlc2VudHJhbnNpdGlvbnMuZnIwEwYDVR0gBAwwCjAIBgZngQwBAgEwNgYDVR0fBC8wLTAroCmgJ4YlaHR0cDovL2MucGtpLmdvb2cvd3IxL3l6V3d0c3FWRkZvLmNybDCCAQMGCisGAQQB1nkCBAIEgfQEgfEA7wB2ANq2v2s/tbYin5vCu1xr6HCRcWy7UYSFNL2kPTBI1/urAAABkTp7sBkAAAQDAEcwRQIgfZbnzQtctor/xs6PDppyBFQF5JLaUzSH/yheLtWp5cwCIQC0K36TsdzTglK/rh7Mxzal5itEnG/WbC186GNRYuZdAAB1AHb/iD8KtvuVUcJhzPWHujS0pM27KdxoQgqf5mdMWjp0AAABkTp7sBYAAAQDAEYwRAIgI7tjjBL3WHxpIG4ASYruisa7y2Gz5Pydke5WGlmKay0CID23Y3dRgeUsnEbQsX/pW3HdAm+IxUQitgLDVc7AIdbnMA0GCSqGSIb3DQEBCwUAA4IBAQAs1iYWlmkDIJduBKyUxZ4tIvsVW3UUZT0Zijm4jNUjg/Su38ZAky4mwKIy7VrB/5vPUzUD54u41iloEFr9lc5N8WMVEucs4dhrwE2vlMu3sgEvcRg0tcAd1hrk59AOXh6vNA1tkavfyulVWo0zzhkEXUTHcGxHqqRyvQ7J+96Ho6Sj3xZOEITqEX0hJAFKgFaQQVcAKANcCbP0TsZXQVP/q2vXajQ2YnhNn31KEMNKFHglHMBmxOL12t4QdjlI2Ji+J/EB/avDlzxUHCBlxdRfLOuoGOWrlaLfGR8pl2pW4JPdWkQkHKftoR6ldMtcz7W3LnSyCnv4SxprANAzAAMX\n-----END CERTIFICATE-----","",""
"cert_commonName <hostCert#1>","www.territoiresentransitions.fr/104.22.79.190","443","OK","www.territoiresentransitions.fr","",""
"cert_commonName_wo_SNI <hostCert#1>","www.territoiresentransitions.fr/104.22.79.190","443","INFO","request w/o SNI didn't succeed","",""
"cert_subjectAltName <hostCert#1>","www.territoiresentransitions.fr/104.22.79.190","443","INFO","www.territoiresentransitions.fr","",""
"cert_trust <hostCert#1>","www.territoiresentransitions.fr/104.22.79.190","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust <hostCert#1>","www.territoiresentransitions.fr/104.22.79.190","443","OK","passed.","",""
"cert_certificatePolicies_EV <hostCert#1>","www.territoiresentransitions.fr/104.22.79.190","443","INFO","no","",""
"cert_expirationStatus <hostCert#1>","www.territoiresentransitions.fr/104.22.79.190","443","MEDIUM","expires < 60 days (32)","",""
"cert_notBefore <hostCert#1>","www.territoiresentransitions.fr/104.22.79.190","443","INFO","2024-08-10 03:11","",""
"cert_notAfter <hostCert#1>","www.territoiresentransitions.fr/104.22.79.190","443","MEDIUM","2024-11-08 03:11","",""
"cert_extlifeSpan <hostCert#1>","www.territoiresentransitions.fr/104.22.79.190","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS <hostCert#1>","www.territoiresentransitions.fr/104.22.79.190","443","INFO","not present","",""
"cert_crlDistributionPoints <hostCert#1>","www.territoiresentransitions.fr/104.22.79.190","443","INFO","http://c.pki.goog/wr1/yzWwtsqVFFo.crl","",""
"cert_ocspURL <hostCert#1>","www.territoiresentransitions.fr/104.22.79.190","443","INFO","http://o.pki.goog/s/wr1/Fhg","",""
"OCSP_stapling <hostCert#1>","www.territoiresentransitions.fr/104.22.79.190","443","OK","offered","",""
"cert_ocspRevoked <hostCert#1>","www.territoiresentransitions.fr/104.22.79.190","443","OK","not revoked","",""
"cert_mustStapleExtension <hostCert#1>","www.territoiresentransitions.fr/104.22.79.190","443","INFO","--","",""
"DNS_CAArecord <hostCert#1>","www.territoiresentransitions.fr/104.22.79.190","443","LOW","--","",""
"certificate_transparency <hostCert#1>","www.territoiresentransitions.fr/104.22.79.190","443","OK","yes (certificate extension)","",""
"certs_countServer <hostCert#1>","www.territoiresentransitions.fr/104.22.79.190","443","INFO","3","",""
"certs_list_ordering_problem <hostCert#1>","www.territoiresentransitions.fr/104.22.79.190","443","INFO","no","",""
"cert_caIssuers <hostCert#1>","www.territoiresentransitions.fr/104.22.79.190","443","INFO","WR1 (Google Trust Services from US)","",""
