"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","aldo.territoiresentransitions.fr/104.21.84.171","443","INFO","HTTP","",""
"pre_128cipher","aldo.territoiresentransitions.fr/104.21.84.171","443","INFO","No 128 cipher limit bug","",""
"SSLv2","aldo.territoiresentransitions.fr/104.21.84.171","443","OK","not offered","",""
"SSLv3","aldo.territoiresentransitions.fr/104.21.84.171","443","OK","not offered","",""
"TLS1","aldo.territoiresentransitions.fr/104.21.84.171","443","INFO","not offered","",""
"TLS1_1","aldo.territoiresentransitions.fr/104.21.84.171","443","INFO","not offered","",""
"TLS1_2","aldo.territoiresentransitions.fr/104.21.84.171","443","OK","offered","",""
"TLS1_3","aldo.territoiresentransitions.fr/104.21.84.171","443","OK","offered with final","",""
"ALPN_HTTP2","aldo.territoiresentransitions.fr/104.21.84.171","443","OK","h2","",""
"ALPN","aldo.territoiresentransitions.fr/104.21.84.171","443","INFO","http/1.1","",""
"cipherlist_NULL","aldo.territoiresentransitions.fr/104.21.84.171","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","aldo.territoiresentransitions.fr/104.21.84.171","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","aldo.territoiresentransitions.fr/104.21.84.171","443","OK","not offered","","CWE-327"
"cipherlist_LOW","aldo.territoiresentransitions.fr/104.21.84.171","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","aldo.territoiresentransitions.fr/104.21.84.171","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","aldo.territoiresentransitions.fr/104.21.84.171","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","aldo.territoiresentransitions.fr/104.21.84.171","443","OK","offered","",""
"cipherlist_STRONG_FS","aldo.territoiresentransitions.fr/104.21.84.171","443","OK","offered","",""
"cipher_order-tls1_2","aldo.territoiresentransitions.fr/104.21.84.171","443","OK","server","",""
"cipherorder_TLSv1_2","aldo.territoiresentransitions.fr/104.21.84.171","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
