"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","HTTP","",""
"pre_128cipher","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","No 128 cipher limit bug","",""
"SSLv2","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","OK","not offered","",""
"SSLv3","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","OK","not offered","",""
"TLS1","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","not offered","",""
"TLS1_1","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","not offered","",""
"TLS1_2","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","OK","offered","",""
"TLS1_3","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","OK","offered with final","",""
"ALPN_HTTP2","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","OK","h2","",""
"ALPN","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","http/1.1","",""
"cipherlist_NULL","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_LOW","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","not offered","",""
"cipherlist_STRONG_FS","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","OK","offered","",""
"cipher_order-tls1_2","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","OK","server","",""
"cipherorder_TLSv1_2","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","OK","server","",""
"FS","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","OK","offered","",""
"FS_ciphers","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","yes","",""
"sessionresumption_ticket","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","not supported","",""
"sessionresumption_ID","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","not supported","",""
"TLS_timestamp","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","random","",""
"certificate_compression","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","none","",""
"clientAuth","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","none","",""
"cert_numbers","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","1","",""
"cert_signatureAlgorithm","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","OK","SHA256 with RSA","",""
"cert_keySize","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","B570A64EEFF112F896C262B1971D48B6","",""
"cert_serialNumberLen","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","16","",""
"cert_fingerprintSHA1","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","7996DF34712350DD403F955928FBBC98376CDFD6","",""
"cert_fingerprintSHA256","benefriches-staging.osc-fr1.scalingo.io/5.104.101.30","443","INFO","9174EA12C66FC28774633BC23895F13C7EFE5362B440620B6226FE62612004E4","",""
