"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","HTTP","",""
"pre_128cipher","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","No 128 cipher limit bug","",""
"SSLv2","benefriches.incubateur.ademe.dev/5.104.101.30","443","OK","not offered","",""
"SSLv3","benefriches.incubateur.ademe.dev/5.104.101.30","443","OK","not offered","",""
"TLS1","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","not offered","",""
"TLS1_1","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","not offered","",""
"TLS1_2","benefriches.incubateur.ademe.dev/5.104.101.30","443","OK","offered","",""
"TLS1_3","benefriches.incubateur.ademe.dev/5.104.101.30","443","OK","offered with final","",""
"ALPN_HTTP2","benefriches.incubateur.ademe.dev/5.104.101.30","443","OK","h2","",""
"ALPN","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","http/1.1","",""
"cipherlist_NULL","benefriches.incubateur.ademe.dev/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","benefriches.incubateur.ademe.dev/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","benefriches.incubateur.ademe.dev/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_LOW","benefriches.incubateur.ademe.dev/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","not offered","",""
"cipherlist_STRONG_FS","benefriches.incubateur.ademe.dev/5.104.101.30","443","OK","offered","",""
"cipher_order-tls1_2","benefriches.incubateur.ademe.dev/5.104.101.30","443","OK","server","",""
"cipherorder_TLSv1_2","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","benefriches.incubateur.ademe.dev/5.104.101.30","443","OK","server","",""
"FS","benefriches.incubateur.ademe.dev/5.104.101.30","443","OK","offered","",""
"FS_ciphers","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","benefriches.incubateur.ademe.dev/5.104.101.30","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","yes","",""
"sessionresumption_ticket","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","not supported","",""
"sessionresumption_ID","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","not supported","",""
"TLS_timestamp","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","random","",""
"certificate_compression","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","none","",""
"clientAuth","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","none","",""
"cert_numbers","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","1","",""
"cert_signatureAlgorithm","benefriches.incubateur.ademe.dev/5.104.101.30","443","OK","SHA256 with RSA","",""
"cert_keySize","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","05BE7697CF15D013A221512DC275B538DD30","",""
"cert_serialNumberLen","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","18","",""
"cert_fingerprintSHA1","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","2830C43694DB5BC0D41953627E30916FF04A965A","",""
"cert_fingerprintSHA256","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","4CE4102407079B48AD4A06AF922FF310359A44E73609775DAA00CEBD71F6B9FA","",""
"cert","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFHDCCBASgAwIBAgISBb52l88V0BOiIVEtwnW1ON0wMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTAwHhcNMjUwNzA3MDkxMzQxWhcNMjUxMDA1MDkxMzQwWjArMSkwJwYDVQQDEyBiZW5lZnJpY2hlcy5pbmN1YmF0ZXVyLmFkZW1lLmRldjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAMJmfBs8/+5c3TUVITzjuzYoL/5mIY+ohT8zqXe5oFE1hGDtBu+mgkJvasgZqZjjuZmtRxTFgD3xSm0VumPT/Nb68J+OsMsvkfrkaJ+qYCqgdP0kUBkbId4MFmK9WT2/CPL72qSLH8vUsuw5Kutf5QZ+vaP0+Oz+pmm8wccVNRQr661adY59Ux3yS5OfFDnbBFl+oXbbmTZxxtjjFGZ24Hp0zQaSWtDR2M6nwyRA8icAP70XC9G8gKijfccOW3dElfMLlPUDzHGNVzv4s6RaSz51Mz3CQ8IT2UuME96ool3zijZ4/ail7KpqIE8FGQhtT8kZzz4MobGleZcWAkb1sIECAwEAAaOCAjAwggIsMA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQU3IEPBZEy/nAfFxUpUF8qrePIJhQwHwYDVR0jBBgwFoAUu7zDR6XkvKnGw6RyDBCNojXhyOgwMwYIKwYBBQUHAQEEJzAlMCMGCCsGAQUFBzAChhdodHRwOi8vcjEwLmkubGVuY3Iub3JnLzArBgNVHREEJDAigiBiZW5lZnJpY2hlcy5pbmN1YmF0ZXVyLmFkZW1lLmRldjATBgNVHSAEDDAKMAgGBmeBDAECATAuBgNVHR8EJzAlMCOgIaAfhh1odHRwOi8vcjEwLmMubGVuY3Iub3JnLzQ5LmNybDCCAQQGCisGAQQB1nkCBAIEgfUEgfIA8AB2AA3h8jAr0w3BQGISCepVLvxHdHyx1+kw7w5CHrR+Tqo0AAABl+RfKh8AAAQDAEcwRQIhAIv5wjgcrdB/8OmqYaaP2Kpf3q12zZZelZH8ejKKmwwSAiACEVmHQ24oEI6uAxHYLCIjqKyAJmdnSYg158xnEdw0IgB2AN3cyjSV1+EWBeeVMvrHn/g9HFDf2wA6FBJ2Ciysu8gqAAABl+RfKmwAAAQDAEcwRQIhANlCQHXFKGSoEpmEYgrmSp4A2SeFzdsYw9vBpwydGbr1AiAhDnak4saIMD/Ry++VE2zEdM7Bjz8a+8pH+HwEde9LdzANBgkqhkiG9w0BAQsFAAOCAQEAelLjdgkn8IZu4E/f5FqFd+KrCwEAqcJBRc5Pc2HYTqoIoyykhSpuqwf/gCpRP22uoMr6SjF27VJdyM4TWISJWbiyFkSzdlQxf7Dzqe4b+k0UHwl+CyDNBpI1lm4IUC6vVym5CaoiX+HQAHRiqCyyGR9cNaE1A5FcYP9u2m8U7UODEfCI5dFSF2xOy3yCNyWVY2gqpGPDeJ70MxTdZjDGKycIYG55H86qPNScqKhpc28QWsow8Ck68/8J4+fd9qZi6cUIIHDFJbxruPqAu7ZVwv1fSiwyjnBzuIONknfhMpNU2X8JMJEqvv4bv8Z95HC60jPpGbjwGFLs4HapnDT01w==\n-----END CERTIFICATE-----","",""
"cert_commonName","benefriches.incubateur.ademe.dev/5.104.101.30","443","OK","benefriches.incubateur.ademe.dev","",""
"cert_commonName_wo_SNI","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","*.osc-fr1.scalingo.io","",""
"cert_subjectAltName","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","benefriches.incubateur.ademe.dev","",""
"cert_trust","benefriches.incubateur.ademe.dev/5.104.101.30","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_trust_wildcard","benefriches.incubateur.ademe.dev/5.104.101.30","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","benefriches.incubateur.ademe.dev/5.104.101.30","443","OK","passed.","",""
"cert_certificatePolicies_EV","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","no","",""
"cert_expirationStatus","benefriches.incubateur.ademe.dev/5.104.101.30","443","OK","35 >= 30 days","",""
"cert_notBefore","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","2025-07-07 09:13","",""
"cert_notAfter","benefriches.incubateur.ademe.dev/5.104.101.30","443","OK","2025-10-05 09:13","",""
"cert_extlifeSpan","benefriches.incubateur.ademe.dev/5.104.101.30","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","not present","",""
"cert_crlDistributionPoints","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","http://r10.c.lencr.org/49.crl","",""
"cert_ocspURL","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","--","",""
"OCSP_stapling","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","not offered","",""
"cert_mustStapleExtension","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","--","",""
"DNS_CAArecord","benefriches.incubateur.ademe.dev/5.104.101.30","443","LOW","--","",""
"certificate_transparency","benefriches.incubateur.ademe.dev/5.104.101.30","443","OK","yes (certificate extension)","",""
"certs_countServer","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","2","",""
"certs_list_ordering_problem","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","no","",""
"cert_caIssuers","benefriches.incubateur.ademe.dev/5.104.101.30","443","INFO","R10 (Let's Encrypt from US)","",""
