"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","budget-site.ademe.vercel.app/76.76.21.164","443","INFO","HTTP","",""
"pre_128cipher","budget-site.ademe.vercel.app/76.76.21.164","443","INFO","No 128 cipher limit bug","",""
"SSLv2","budget-site.ademe.vercel.app/76.76.21.164","443","OK","not offered","",""
"SSLv3","budget-site.ademe.vercel.app/76.76.21.164","443","OK","not offered","",""
"TLS1","budget-site.ademe.vercel.app/76.76.21.164","443","INFO","not offered","",""
"TLS1_1","budget-site.ademe.vercel.app/76.76.21.164","443","INFO","not offered","",""
"TLS1_2","budget-site.ademe.vercel.app/76.76.21.164","443","OK","offered","",""
"TLS1_3","budget-site.ademe.vercel.app/76.76.21.164","443","OK","offered with final","",""
"ALPN_HTTP2","budget-site.ademe.vercel.app/76.76.21.164","443","OK","h2","",""
"ALPN","budget-site.ademe.vercel.app/76.76.21.164","443","INFO","http/1.1","",""
"cipherlist_NULL","budget-site.ademe.vercel.app/76.76.21.164","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","budget-site.ademe.vercel.app/76.76.21.164","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","budget-site.ademe.vercel.app/76.76.21.164","443","OK","not offered","","CWE-327"
"cipherlist_LOW","budget-site.ademe.vercel.app/76.76.21.164","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","budget-site.ademe.vercel.app/76.76.21.164","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","budget-site.ademe.vercel.app/76.76.21.164","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","budget-site.ademe.vercel.app/76.76.21.164","443","INFO","not offered","",""
"cipherlist_STRONG_FS","budget-site.ademe.vercel.app/76.76.21.164","443","OK","offered","",""
"cipher_order-tls1_2","budget-site.ademe.vercel.app/76.76.21.164","443","OK","server","",""
"cipherorder_TLSv1_2","budget-site.ademe.vercel.app/76.76.21.164","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","budget-site.ademe.vercel.app/76.76.21.164","443","OK","server -- TLS 1.3 client determined","",""
"FS","budget-site.ademe.vercel.app/76.76.21.164","443","OK","offered","",""
"FS_ciphers","budget-site.ademe.vercel.app/76.76.21.164","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","budget-site.ademe.vercel.app/76.76.21.164","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","budget-site.ademe.vercel.app/76.76.21.164","443","INFO","'status request/#5' 'session ticket/#35' 'renegotiation info/#65281' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'extended master secret/#23' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","budget-site.ademe.vercel.app/76.76.21.164","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","budget-site.ademe.vercel.app/76.76.21.164","443","INFO","yes","",""
"sessionresumption_ticket","budget-site.ademe.vercel.app/76.76.21.164","443","INFO","not supported","",""
"sessionresumption_ID","budget-site.ademe.vercel.app/76.76.21.164","443","INFO","not supported","",""
"TLS_timestamp","budget-site.ademe.vercel.app/76.76.21.164","443","INFO","random","",""
"certificate_compression","budget-site.ademe.vercel.app/76.76.21.164","443","INFO","none","",""
"clientAuth","budget-site.ademe.vercel.app/76.76.21.164","443","INFO","none","",""
"cert_numbers","budget-site.ademe.vercel.app/76.76.21.164","443","INFO","1","",""
"cert_signatureAlgorithm","budget-site.ademe.vercel.app/76.76.21.164","443","OK","SHA256 with RSA","",""
"cert_keySize","budget-site.ademe.vercel.app/76.76.21.164","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","budget-site.ademe.vercel.app/76.76.21.164","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","budget-site.ademe.vercel.app/76.76.21.164","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","budget-site.ademe.vercel.app/76.76.21.164","443","INFO","04E29CE942E98766D6EF1560CE15D0511201","",""
"cert_serialNumberLen","budget-site.ademe.vercel.app/76.76.21.164","443","INFO","18","",""
"cert_fingerprintSHA1","budget-site.ademe.vercel.app/76.76.21.164","443","INFO","CBD6A21F3EC2FC906FAF40E09D939E02D0295392","",""
"cert_fingerprintSHA256","budget-site.ademe.vercel.app/76.76.21.164","443","INFO","0AF52DFAD9E0591F5BB3638BBF685281D6E298A24038387C6C53DB7EBA7448FA","",""
