"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","carte-verte.ademe.vercel.app/76.76.21.9","443","INFO","HTTP","",""
"pre_128cipher","carte-verte.ademe.vercel.app/76.76.21.9","443","INFO","No 128 cipher limit bug","",""
"SSLv2","carte-verte.ademe.vercel.app/76.76.21.9","443","OK","not offered","",""
"SSLv3","carte-verte.ademe.vercel.app/76.76.21.9","443","OK","not offered","",""
"TLS1","carte-verte.ademe.vercel.app/76.76.21.9","443","INFO","not offered","",""
"TLS1_1","carte-verte.ademe.vercel.app/76.76.21.9","443","INFO","not offered","",""
"TLS1_2","carte-verte.ademe.vercel.app/76.76.21.9","443","OK","offered","",""
"TLS1_3","carte-verte.ademe.vercel.app/76.76.21.9","443","OK","offered with final","",""
"ALPN_HTTP2","carte-verte.ademe.vercel.app/76.76.21.9","443","OK","h2","",""
"ALPN","carte-verte.ademe.vercel.app/76.76.21.9","443","INFO","http/1.1","",""
"cipherlist_NULL","carte-verte.ademe.vercel.app/76.76.21.9","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","carte-verte.ademe.vercel.app/76.76.21.9","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","carte-verte.ademe.vercel.app/76.76.21.9","443","OK","not offered","","CWE-327"
"cipherlist_LOW","carte-verte.ademe.vercel.app/76.76.21.9","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","carte-verte.ademe.vercel.app/76.76.21.9","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","carte-verte.ademe.vercel.app/76.76.21.9","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","carte-verte.ademe.vercel.app/76.76.21.9","443","INFO","not offered","",""
"cipherlist_STRONG_FS","carte-verte.ademe.vercel.app/76.76.21.9","443","OK","offered","",""
"cipher_order-tls1_2","carte-verte.ademe.vercel.app/76.76.21.9","443","OK","server","",""
"cipherorder_TLSv1_2","carte-verte.ademe.vercel.app/76.76.21.9","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","carte-verte.ademe.vercel.app/76.76.21.9","443","OK","server -- TLS 1.3 client determined","",""
"FS","carte-verte.ademe.vercel.app/76.76.21.9","443","OK","offered","",""
"FS_ciphers","carte-verte.ademe.vercel.app/76.76.21.9","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","carte-verte.ademe.vercel.app/76.76.21.9","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","carte-verte.ademe.vercel.app/76.76.21.9","443","INFO","'status request/#5' 'session ticket/#35' 'renegotiation info/#65281' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'extended master secret/#23' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","carte-verte.ademe.vercel.app/76.76.21.9","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","carte-verte.ademe.vercel.app/76.76.21.9","443","INFO","yes","",""
"sessionresumption_ticket","carte-verte.ademe.vercel.app/76.76.21.9","443","INFO","not supported","",""
"sessionresumption_ID","carte-verte.ademe.vercel.app/76.76.21.9","443","INFO","not supported","",""
"TLS_timestamp","carte-verte.ademe.vercel.app/76.76.21.9","443","INFO","random","",""
"certificate_compression","carte-verte.ademe.vercel.app/76.76.21.9","443","INFO","none","",""
"clientAuth","carte-verte.ademe.vercel.app/76.76.21.9","443","INFO","none","",""
"cert_numbers","carte-verte.ademe.vercel.app/76.76.21.9","443","INFO","1","",""
"cert_signatureAlgorithm","carte-verte.ademe.vercel.app/76.76.21.9","443","OK","SHA256 with RSA","",""
"cert_keySize","carte-verte.ademe.vercel.app/76.76.21.9","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","carte-verte.ademe.vercel.app/76.76.21.9","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","carte-verte.ademe.vercel.app/76.76.21.9","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","carte-verte.ademe.vercel.app/76.76.21.9","443","INFO","04B180431A6D34E74E422097950C68C6B675","",""
"cert_serialNumberLen","carte-verte.ademe.vercel.app/76.76.21.9","443","INFO","18","",""
"cert_fingerprintSHA1","carte-verte.ademe.vercel.app/76.76.21.9","443","INFO","154DADB18ABBE8F7ABFADEE3FD18F0BDBA875C57","",""
"cert_fingerprintSHA256","carte-verte.ademe.vercel.app/76.76.21.9","443","INFO","F7EB23DDB03737543F763A67511A08FD4A4C2AA8FDDB22C8E93DB53C2FDA4714","",""
