"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","INFO","HTTP","",""
"pre_128cipher","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","INFO","No 128 cipher limit bug","",""
"SSLv2","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","OK","not offered","",""
"SSLv3","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","OK","not offered","",""
"TLS1","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","INFO","not offered","",""
"TLS1_1","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","INFO","not offered","",""
"TLS1_2","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","OK","offered","",""
"TLS1_3","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","OK","offered with final","",""
"ALPN_HTTP2","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","OK","h2","",""
"ALPN","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","INFO","http/1.1","",""
"cipherlist_NULL","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","OK","not offered","","CWE-327"
"cipherlist_LOW","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","OK","offered","",""
"cipherlist_STRONG_FS","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","OK","offered","",""
"cipher_order-tls1_2","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","OK","server","",""
"cipherorder_TLSv1_2","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","OK","server","",""
"FS","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","OK","offered","",""
"FS_ciphers","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","INFO","'server name/#0' 'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'supported versions/#43' 'key share/#51' 'extended master secret/#23' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","INFO","yes","",""
"sessionresumption_ticket","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","INFO","supported","",""
"sessionresumption_ID","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","INFO","supported","",""
"TLS_timestamp","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","INFO","random","",""
"certificate_compression","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","INFO","none","",""
"clientAuth","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","INFO","none","",""
"cert_numbers","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","INFO","1","",""
"cert_signatureAlgorithm","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","OK","SHA256 with RSA","",""
"cert_keySize","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","INFO","04823E4F303EACDE4C19535E5646400A3268","",""
"cert_serialNumberLen","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","INFO","18","",""
"cert_fingerprintSHA1","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","INFO","4E702459902E5D63EEBC65B0FAC0CD0318689AC8","",""
"cert_fingerprintSHA256","dashlord.incubateur-ademe.beta.gouv.fr/185.199.108.153","443","INFO","FBEEAA16A97176BBB1BC12B2DD9CB301091063A783B3891A416122246EAFA5FC","",""
