"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","facili-tacct-preprod.osc-fr1.scalingo.io/109.232.236.90","443","INFO","HTTP","",""
"pre_128cipher","facili-tacct-preprod.osc-fr1.scalingo.io/109.232.236.90","443","INFO","No 128 cipher limit bug","",""
"SSLv2","facili-tacct-preprod.osc-fr1.scalingo.io/109.232.236.90","443","OK","not offered","",""
"SSLv3","facili-tacct-preprod.osc-fr1.scalingo.io/109.232.236.90","443","OK","not offered","",""
"TLS1","facili-tacct-preprod.osc-fr1.scalingo.io/109.232.236.90","443","INFO","not offered","",""
"TLS1_1","facili-tacct-preprod.osc-fr1.scalingo.io/109.232.236.90","443","INFO","not offered","",""
"TLS1_2","facili-tacct-preprod.osc-fr1.scalingo.io/109.232.236.90","443","OK","offered","",""
"TLS1_3","facili-tacct-preprod.osc-fr1.scalingo.io/109.232.236.90","443","OK","offered with final","",""
"ALPN_HTTP2","facili-tacct-preprod.osc-fr1.scalingo.io/109.232.236.90","443","OK","h2","",""
"ALPN","facili-tacct-preprod.osc-fr1.scalingo.io/109.232.236.90","443","INFO","http/1.1","",""
"cipherlist_NULL","facili-tacct-preprod.osc-fr1.scalingo.io/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","facili-tacct-preprod.osc-fr1.scalingo.io/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","facili-tacct-preprod.osc-fr1.scalingo.io/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_LOW","facili-tacct-preprod.osc-fr1.scalingo.io/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","facili-tacct-preprod.osc-fr1.scalingo.io/109.232.236.90","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","facili-tacct-preprod.osc-fr1.scalingo.io/109.232.236.90","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","facili-tacct-preprod.osc-fr1.scalingo.io/109.232.236.90","443","INFO","not offered","",""
"cipherlist_STRONG_FS","facili-tacct-preprod.osc-fr1.scalingo.io/109.232.236.90","443","OK","offered","",""
"cipher_order-tls1_2","facili-tacct-preprod.osc-fr1.scalingo.io/109.232.236.90","443","OK","server","",""
"cipherorder_TLSv1_2","facili-tacct-preprod.osc-fr1.scalingo.io/109.232.236.90","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","facili-tacct-preprod.osc-fr1.scalingo.io/109.232.236.90","443","OK","server","",""
"FS","facili-tacct-preprod.osc-fr1.scalingo.io/109.232.236.90","443","OK","offered","",""
"FS_ciphers","facili-tacct-preprod.osc-fr1.scalingo.io/109.232.236.90","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","facili-tacct-preprod.osc-fr1.scalingo.io/109.232.236.90","443","OK","prime256v1 secp384r1 secp521r1","",""
