"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","facili-tacct.beta.gouv.fr/109.232.233.130","443","INFO","HTTP","",""
"pre_128cipher","facili-tacct.beta.gouv.fr/109.232.233.130","443","INFO","No 128 cipher limit bug","",""
"SSLv2","facili-tacct.beta.gouv.fr/109.232.233.130","443","OK","not offered","",""
"SSLv3","facili-tacct.beta.gouv.fr/109.232.233.130","443","OK","not offered","",""
"TLS1","facili-tacct.beta.gouv.fr/109.232.233.130","443","INFO","not offered","",""
"TLS1_1","facili-tacct.beta.gouv.fr/109.232.233.130","443","INFO","not offered","",""
"TLS1_2","facili-tacct.beta.gouv.fr/109.232.233.130","443","OK","offered","",""
"TLS1_3","facili-tacct.beta.gouv.fr/109.232.233.130","443","OK","offered with final","",""
"ALPN_HTTP2","facili-tacct.beta.gouv.fr/109.232.233.130","443","OK","h2","",""
"ALPN","facili-tacct.beta.gouv.fr/109.232.233.130","443","INFO","http/1.1","",""
"cipherlist_NULL","facili-tacct.beta.gouv.fr/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","facili-tacct.beta.gouv.fr/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","facili-tacct.beta.gouv.fr/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_LOW","facili-tacct.beta.gouv.fr/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","facili-tacct.beta.gouv.fr/109.232.233.130","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","facili-tacct.beta.gouv.fr/109.232.233.130","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","facili-tacct.beta.gouv.fr/109.232.233.130","443","INFO","not offered","",""
"cipherlist_STRONG_FS","facili-tacct.beta.gouv.fr/109.232.233.130","443","OK","offered","",""
"cipher_order-tls1_2","facili-tacct.beta.gouv.fr/109.232.233.130","443","OK","server","",""
"cipherorder_TLSv1_2","facili-tacct.beta.gouv.fr/109.232.233.130","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","facili-tacct.beta.gouv.fr/109.232.233.130","443","OK","server","",""
"FS","facili-tacct.beta.gouv.fr/109.232.233.130","443","OK","offered","",""
"FS_ciphers","facili-tacct.beta.gouv.fr/109.232.233.130","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","facili-tacct.beta.gouv.fr/109.232.233.130","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","facili-tacct.beta.gouv.fr/109.232.233.130","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","facili-tacct.beta.gouv.fr/109.232.233.130","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","facili-tacct.beta.gouv.fr/109.232.233.130","443","INFO","yes","",""
"sessionresumption_ticket","facili-tacct.beta.gouv.fr/109.232.233.130","443","INFO","not supported","",""
"sessionresumption_ID","facili-tacct.beta.gouv.fr/109.232.233.130","443","INFO","not supported","",""
"TLS_timestamp","facili-tacct.beta.gouv.fr/109.232.233.130","443","INFO","random","",""
"certificate_compression","facili-tacct.beta.gouv.fr/109.232.233.130","443","INFO","none","",""
"clientAuth","facili-tacct.beta.gouv.fr/109.232.233.130","443","INFO","none","",""
"cert_numbers","facili-tacct.beta.gouv.fr/109.232.233.130","443","INFO","1","",""
"cert_signatureAlgorithm","facili-tacct.beta.gouv.fr/109.232.233.130","443","OK","SHA256 with RSA","",""
"cert_keySize","facili-tacct.beta.gouv.fr/109.232.233.130","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","facili-tacct.beta.gouv.fr/109.232.233.130","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","facili-tacct.beta.gouv.fr/109.232.233.130","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","facili-tacct.beta.gouv.fr/109.232.233.130","443","INFO","04DD26FECB1EAF8E5AD3DC30B5141A095593","",""
"cert_serialNumberLen","facili-tacct.beta.gouv.fr/109.232.233.130","443","INFO","18","",""
"cert_fingerprintSHA1","facili-tacct.beta.gouv.fr/109.232.233.130","443","INFO","13AAB402C0A59908BEB146B989B2DED8EA722DD3","",""
"cert_fingerprintSHA256","facili-tacct.beta.gouv.fr/109.232.233.130","443","INFO","B677AD56480BF66406834377BF3925AB9EC14955393EBD08E4AEDA5D68FB7081","",""
