"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","INFO","HTTP","",""
"pre_128cipher","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","INFO","No 128 cipher limit bug","",""
"SSLv2","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","OK","not offered","",""
"SSLv3","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","OK","not offered","",""
"TLS1","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","INFO","not offered","",""
"TLS1_1","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","INFO","not offered","",""
"TLS1_2","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","OK","offered","",""
"TLS1_3","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","OK","offered with final","",""
"ALPN_HTTP2","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","OK","h2","",""
"ALPN","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","INFO","http/1.1","",""
"cipherlist_NULL","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_LOW","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","INFO","not offered","",""
"cipherlist_STRONG_FS","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","OK","offered","",""
"cipher_order-tls1_2","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","OK","server","",""
"cipherorder_TLSv1_2","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","OK","server","",""
"FS","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","OK","offered","",""
"FS_ciphers","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","INFO","yes","",""
"sessionresumption_ticket","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","INFO","not supported","",""
"sessionresumption_ID","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","INFO","supported","",""
"TLS_timestamp","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","INFO","random","",""
"certificate_compression","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","INFO","none","",""
"clientAuth","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","INFO","none","",""
"cert_numbers","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","INFO","1","",""
"cert_signatureAlgorithm","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","OK","SHA256 with RSA","",""
"cert_keySize","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","INFO","0516B28E69141A14729C26D03867B1139B9A","",""
"cert_serialNumberLen","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","INFO","18","",""
"cert_fingerprintSHA1","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","INFO","722C43295C6B53B989A51400341033BE14026533","",""
"cert_fingerprintSHA256","facili-tacct.incubateur.ademe.dev/109.232.233.130","443","INFO","54AD52B65A990A37EE6BBDA2A22A333F3611B1C23760E9947A7B8B0949057104","",""
