"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","lvao.ademe.fr/5.104.101.30","443","INFO","HTTP","",""
"pre_128cipher","lvao.ademe.fr/5.104.101.30","443","INFO","No 128 cipher limit bug","",""
"SSLv2","lvao.ademe.fr/5.104.101.30","443","OK","not offered","",""
"SSLv3","lvao.ademe.fr/5.104.101.30","443","OK","not offered","",""
"TLS1","lvao.ademe.fr/5.104.101.30","443","INFO","not offered","",""
"TLS1_1","lvao.ademe.fr/5.104.101.30","443","INFO","not offered","",""
"TLS1_2","lvao.ademe.fr/5.104.101.30","443","OK","offered","",""
"TLS1_3","lvao.ademe.fr/5.104.101.30","443","OK","offered with final","",""
"ALPN_HTTP2","lvao.ademe.fr/5.104.101.30","443","OK","h2","",""
"ALPN","lvao.ademe.fr/5.104.101.30","443","INFO","http/1.1","",""
"cipherlist_NULL","lvao.ademe.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","lvao.ademe.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","lvao.ademe.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_LOW","lvao.ademe.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","lvao.ademe.fr/5.104.101.30","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","lvao.ademe.fr/5.104.101.30","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","lvao.ademe.fr/5.104.101.30","443","INFO","not offered","",""
"cipherlist_STRONG_FS","lvao.ademe.fr/5.104.101.30","443","OK","offered","",""
"cipher_order-tls1_2","lvao.ademe.fr/5.104.101.30","443","OK","server","",""
"cipherorder_TLSv1_2","lvao.ademe.fr/5.104.101.30","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","lvao.ademe.fr/5.104.101.30","443","OK","server","",""
"FS","lvao.ademe.fr/5.104.101.30","443","OK","offered","",""
"FS_ciphers","lvao.ademe.fr/5.104.101.30","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","lvao.ademe.fr/5.104.101.30","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","lvao.ademe.fr/5.104.101.30","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","lvao.ademe.fr/5.104.101.30","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","lvao.ademe.fr/5.104.101.30","443","INFO","yes","",""
"sessionresumption_ticket","lvao.ademe.fr/5.104.101.30","443","INFO","not supported","",""
"sessionresumption_ID","lvao.ademe.fr/5.104.101.30","443","INFO","not supported","",""
"TLS_timestamp","lvao.ademe.fr/5.104.101.30","443","INFO","random","",""
"certificate_compression","lvao.ademe.fr/5.104.101.30","443","INFO","none","",""
