"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","pacoupa.ademe.fr/80.247.12.255","443","INFO","HTTP","",""
"pre_128cipher","pacoupa.ademe.fr/80.247.12.255","443","INFO","No 128 cipher limit bug","",""
"SSLv2","pacoupa.ademe.fr/80.247.12.255","443","OK","not offered","",""
"SSLv3","pacoupa.ademe.fr/80.247.12.255","443","OK","not offered","",""
"TLS1","pacoupa.ademe.fr/80.247.12.255","443","INFO","not offered","",""
"TLS1_1","pacoupa.ademe.fr/80.247.12.255","443","INFO","not offered","",""
"TLS1_2","pacoupa.ademe.fr/80.247.12.255","443","OK","offered","",""
"TLS1_3","pacoupa.ademe.fr/80.247.12.255","443","OK","offered with final","",""
"ALPN_HTTP2","pacoupa.ademe.fr/80.247.12.255","443","OK","h2","",""
"ALPN","pacoupa.ademe.fr/80.247.12.255","443","INFO","http/1.1","",""
"cipherlist_NULL","pacoupa.ademe.fr/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","pacoupa.ademe.fr/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","pacoupa.ademe.fr/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_LOW","pacoupa.ademe.fr/80.247.12.255","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","pacoupa.ademe.fr/80.247.12.255","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","pacoupa.ademe.fr/80.247.12.255","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","pacoupa.ademe.fr/80.247.12.255","443","INFO","not offered","",""
"cipherlist_STRONG_FS","pacoupa.ademe.fr/80.247.12.255","443","OK","offered","",""
"cipher_order-tls1_2","pacoupa.ademe.fr/80.247.12.255","443","OK","server","",""
"cipherorder_TLSv1_2","pacoupa.ademe.fr/80.247.12.255","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","pacoupa.ademe.fr/80.247.12.255","443","OK","server","",""
"FS","pacoupa.ademe.fr/80.247.12.255","443","OK","offered","",""
"FS_ciphers","pacoupa.ademe.fr/80.247.12.255","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","pacoupa.ademe.fr/80.247.12.255","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","pacoupa.ademe.fr/80.247.12.255","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","pacoupa.ademe.fr/80.247.12.255","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","pacoupa.ademe.fr/80.247.12.255","443","INFO","yes","",""
"sessionresumption_ticket","pacoupa.ademe.fr/80.247.12.255","443","INFO","supported","",""
"sessionresumption_ID","pacoupa.ademe.fr/80.247.12.255","443","INFO","supported","",""
"TLS_timestamp","pacoupa.ademe.fr/80.247.12.255","443","INFO","random","",""
"certificate_compression","pacoupa.ademe.fr/80.247.12.255","443","INFO","none","",""
"clientAuth","pacoupa.ademe.fr/80.247.12.255","443","INFO","none","",""
"cert_numbers","pacoupa.ademe.fr/80.247.12.255","443","INFO","1","",""
"cert_signatureAlgorithm","pacoupa.ademe.fr/80.247.12.255","443","OK","SHA256 with RSA","",""
