"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","pacoupa.ademe.vercel.app/216.198.79.65","443","INFO","HTTP","",""
"pre_128cipher","pacoupa.ademe.vercel.app/216.198.79.65","443","INFO","No 128 cipher limit bug","",""
"SSLv2","pacoupa.ademe.vercel.app/216.198.79.65","443","OK","not offered","",""
"SSLv3","pacoupa.ademe.vercel.app/216.198.79.65","443","OK","not offered","",""
"TLS1","pacoupa.ademe.vercel.app/216.198.79.65","443","INFO","not offered","",""
"TLS1_1","pacoupa.ademe.vercel.app/216.198.79.65","443","INFO","not offered","",""
"TLS1_2","pacoupa.ademe.vercel.app/216.198.79.65","443","OK","offered","",""
"TLS1_3","pacoupa.ademe.vercel.app/216.198.79.65","443","OK","offered with final","",""
"ALPN_HTTP2","pacoupa.ademe.vercel.app/216.198.79.65","443","OK","h2","",""
"ALPN","pacoupa.ademe.vercel.app/216.198.79.65","443","INFO","http/1.1","",""
"cipherlist_NULL","pacoupa.ademe.vercel.app/216.198.79.65","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","pacoupa.ademe.vercel.app/216.198.79.65","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","pacoupa.ademe.vercel.app/216.198.79.65","443","OK","not offered","","CWE-327"
"cipherlist_LOW","pacoupa.ademe.vercel.app/216.198.79.65","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","pacoupa.ademe.vercel.app/216.198.79.65","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","pacoupa.ademe.vercel.app/216.198.79.65","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","pacoupa.ademe.vercel.app/216.198.79.65","443","INFO","not offered","",""
"cipherlist_STRONG_FS","pacoupa.ademe.vercel.app/216.198.79.65","443","OK","offered","",""
"cipher_order-tls1_2","pacoupa.ademe.vercel.app/216.198.79.65","443","OK","server","",""
"cipherorder_TLSv1_2","pacoupa.ademe.vercel.app/216.198.79.65","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","pacoupa.ademe.vercel.app/216.198.79.65","443","OK","server -- TLS 1.3 client determined","",""
"FS","pacoupa.ademe.vercel.app/216.198.79.65","443","OK","offered","",""
"FS_ciphers","pacoupa.ademe.vercel.app/216.198.79.65","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","pacoupa.ademe.vercel.app/216.198.79.65","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","pacoupa.ademe.vercel.app/216.198.79.65","443","INFO","'status request/#5' 'session ticket/#35' 'renegotiation info/#65281' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'extended master secret/#23' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","pacoupa.ademe.vercel.app/216.198.79.65","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","pacoupa.ademe.vercel.app/216.198.79.65","443","INFO","yes","",""
"sessionresumption_ticket","pacoupa.ademe.vercel.app/216.198.79.65","443","INFO","not supported","",""
"sessionresumption_ID","pacoupa.ademe.vercel.app/216.198.79.65","443","INFO","not supported","",""
"TLS_timestamp","pacoupa.ademe.vercel.app/216.198.79.65","443","INFO","random","",""
"certificate_compression","pacoupa.ademe.vercel.app/216.198.79.65","443","INFO","none","",""
"clientAuth","pacoupa.ademe.vercel.app/216.198.79.65","443","INFO","none","",""
"cert_numbers","pacoupa.ademe.vercel.app/216.198.79.65","443","INFO","1","",""
"cert_signatureAlgorithm","pacoupa.ademe.vercel.app/216.198.79.65","443","OK","SHA256 with RSA","",""
"cert_keySize","pacoupa.ademe.vercel.app/216.198.79.65","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","pacoupa.ademe.vercel.app/216.198.79.65","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","pacoupa.ademe.vercel.app/216.198.79.65","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","pacoupa.ademe.vercel.app/216.198.79.65","443","INFO","04487489E069B256A24C6ABAE63250FDBA76","",""
"cert_serialNumberLen","pacoupa.ademe.vercel.app/216.198.79.65","443","INFO","18","",""
"cert_fingerprintSHA1","pacoupa.ademe.vercel.app/216.198.79.65","443","INFO","CBF8CDB57B7E2730621876762E7646B349F43464","",""
"cert_fingerprintSHA256","pacoupa.ademe.vercel.app/216.198.79.65","443","INFO","FACC342AAD4270AD1901FDEDF02DACCDEF9FA1B9008DA42342AE1C11ADB41ED0","",""
