"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","HTTP","",""
"pre_128cipher","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","No 128 cipher limit bug","",""
"SSLv2","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","OK","not offered","",""
"SSLv3","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","OK","not offered","",""
"TLS1","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","not offered","",""
"TLS1_1","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","not offered","",""
"TLS1_2","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","OK","offered","",""
"TLS1_3","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","OK","offered with final","",""
"ALPN_HTTP2","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","OK","h2","",""
"ALPN","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","http/1.1","",""
"cipherlist_NULL","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_LOW","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","not offered","",""
"cipherlist_STRONG_FS","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","OK","offered","",""
"cipher_order-tls1_2","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","OK","server","",""
"cipherorder_TLSv1_2","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","OK","server","",""
"FS","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","OK","offered","",""
"FS_ciphers","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","yes","",""
"sessionresumption_ticket","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","not supported","",""
"sessionresumption_ID","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","not supported","",""
"TLS_timestamp","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","random","",""
"certificate_compression","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","none","",""
"clientAuth","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","none","",""
"cert_numbers","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","1","",""
"cert_signatureAlgorithm","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","OK","SHA256 with RSA","",""
"cert_keySize","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","06CA837364C60BF7797CDDBCF12D03FE2B3A","",""
"cert_serialNumberLen","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","18","",""
"cert_fingerprintSHA1","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","201D0978F048A047655FFFF69233143E23687177","",""
"cert_fingerprintSHA256","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","F11D87BA262C8DD0F13CDC73A8F4F421ABFE2306AB8C10633F0487EDCD04E2E1","",""
"cert","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFaDCCBFCgAwIBAgISBsqDc2TGC/d5fN288S0D/is6MA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTAwHhcNMjUwMzE0MDgxNDQyWhcNMjUwNjEyMDgxNDQxWjA/MT0wOwYDVQQDEzRwcmVwcm9kLm1pc3Npb24tdHJhbnNpdGlvbi1lY29sb2dpcXVlLmluY3ViYXRldXIubmV0MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAsHFEqzBzcHH2eC6yW6gVHqImbSi64r9Bq3FRV+WUBNgbP9SXZ7aVpzJgSLHkRE2jC7kTgdKp8gTD2jo4bfGjnkebPN8Jd36tk+xJ9i94Scbnw+Eui/D9aep8NRYxwYE8FLWel6dFpTwPmwsvK2cmHaU+wcHCmiHbrQjyzDLMUtYzdfyrz0bqRF1y3QTfqvNwYMhi0DxLYe4Vjby8Y0rMWt0KSsEeNxI1hUxVqvjeTE/lHt49o4FBG4uYfODpw2Jns1uTeNgXDJeQPBD5tlvFFnIW0pTP3yRgDhCZ28mDt9tCM+PSBpkSzLurMG22c/9EJ/XmT8AehIQSN8PrGpe4wQIDAQABo4ICaDCCAmQwDgYDVR0PAQH/BAQDAgWgMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBRe97do4SUhSvDKQ1ulcc4vrME3KzAfBgNVHSMEGDAWgBS7vMNHpeS8qcbDpHIMEI2iNeHI6DBXBggrBgEFBQcBAQRLMEkwIgYIKwYBBQUHMAGGFmh0dHA6Ly9yMTAuby5sZW5jci5vcmcwIwYIKwYBBQUHMAKGF2h0dHA6Ly9yMTAuaS5sZW5jci5vcmcvMD8GA1UdEQQ4MDaCNHByZXByb2QubWlzc2lvbi10cmFuc2l0aW9uLWVjb2xvZ2lxdWUuaW5jdWJhdGV1ci5uZXQwEwYDVR0gBAwwCjAIBgZngQwBAgEwLgYDVR0fBCcwJTAjoCGgH4YdaHR0cDovL3IxMC5jLmxlbmNyLm9yZy81OS5jcmwwggEEBgorBgEEAdZ5AgQCBIH1BIHyAPAAdgCi4wrkRe+9rZt+OO1HZ3dT14JbhJTXK14bLMS5UKRH5wAAAZWT7dehAAAEAwBHMEUCIQCQErUpxU91r8D8JNPa2enXc98Xkz//T+LXiPgJQVTxlQIgEbFVZQYevOFXzO2mABVPGJZDaaDaSsCW/AGHSdruoo0AdgDehYHXUCR8a83Lr1Y3xeeBxkzkbtYXY5+PNKcmyeK9NwAAAZWT7deOAAAEAwBHMEUCIF61rPl9xj+tLKU1ClcSzPMrAKUMZj+qbb9WFrakpMZ4AiEAqckgHyJUcO7poVo7+7NkO/Byc9vbOyQokl7MGgdHyuUwDQYJKoZIhvcNAQELBQADggEBAMzaBTqpi4HzL6FepRJCC+EBrlJoNanvWuYrwJ3suv9jL+cm9SZpto8NySaOUJ2s1WM7FGrvzVvIS857c0fNrOBNaBQysQr/RhuPB4tWnydffuS5Sq6Nn+7Fe3BylPVUxonXig4DUXvDb/OWtpqncehh4MDJOROBLDpC8KMueQhCkFjwuwQUz5MrQVO81IbTaHxiOpzNqmsOzmxXfgMTAMgSu94AMT/I3NTMgpLLbE9LydEY32yBG6rOwprv0/lq1KOdwdfBAn+GW/xXFkHxZcGeRiCVkqSHlKZ+BjrG3AgyhomioYXYHRDfXiFUWfkbWYVCCrn7QOzqQk9wkmzH9Rg=\n-----END CERTIFICATE-----","",""
"cert_commonName","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","OK","preprod.mission-transition-ecologique.incubateur.net","",""
"cert_commonName_wo_SNI","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","*.osc-fr1.scalingo.io","",""
"cert_subjectAltName","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","preprod.mission-transition-ecologique.incubateur.net","",""
"cert_trust","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_trust_wildcard","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","OK","passed.","",""
"cert_certificatePolicies_EV","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","no","",""
"cert_expirationStatus","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","OK","86 >= 30 days","",""
"cert_notBefore","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","2025-03-14 08:14","",""
"cert_notAfter","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","OK","2025-06-12 08:14","",""
"cert_extlifeSpan","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","not present","",""
"cert_crlDistributionPoints","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","http://r10.c.lencr.org/59.crl","",""
"cert_ocspURL","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","http://r10.o.lencr.org","",""
"OCSP_stapling","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","LOW","not offered","",""
"cert_mustStapleExtension","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","--","",""
"DNS_CAArecord","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","LOW","--","",""
"certificate_transparency","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","OK","yes (certificate extension)","",""
"certs_countServer","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","2","",""
"certs_list_ordering_problem","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","no","",""
"cert_caIssuers","preprod.mission-transition-ecologique.incubateur.net/109.232.236.90","443","INFO","R10 (Let's Encrypt from US)","",""
