"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","HTTP","",""
"pre_128cipher","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","No 128 cipher limit bug","",""
"SSLv2","quefairedemesdechets.ademe.fr/109.232.233.130","443","OK","not offered","",""
"SSLv3","quefairedemesdechets.ademe.fr/109.232.233.130","443","OK","not offered","",""
"TLS1","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","not offered","",""
"TLS1_1","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","not offered","",""
"TLS1_2","quefairedemesdechets.ademe.fr/109.232.233.130","443","OK","offered","",""
"TLS1_3","quefairedemesdechets.ademe.fr/109.232.233.130","443","OK","offered with final","",""
"ALPN_HTTP2","quefairedemesdechets.ademe.fr/109.232.233.130","443","OK","h2","",""
"ALPN","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","http/1.1","",""
"cipherlist_NULL","quefairedemesdechets.ademe.fr/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","quefairedemesdechets.ademe.fr/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","quefairedemesdechets.ademe.fr/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_LOW","quefairedemesdechets.ademe.fr/109.232.233.130","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","not offered","",""
"cipherlist_STRONG_FS","quefairedemesdechets.ademe.fr/109.232.233.130","443","OK","offered","",""
"cipher_order-tls1_2","quefairedemesdechets.ademe.fr/109.232.233.130","443","OK","server","",""
"cipherorder_TLSv1_2","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","quefairedemesdechets.ademe.fr/109.232.233.130","443","OK","server","",""
"FS","quefairedemesdechets.ademe.fr/109.232.233.130","443","OK","offered","",""
"FS_ciphers","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","quefairedemesdechets.ademe.fr/109.232.233.130","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","yes","",""
"sessionresumption_ticket","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","not supported","",""
"sessionresumption_ID","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","not supported","",""
"TLS_timestamp","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","random","",""
"certificate_compression","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","none","",""
"clientAuth","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","none","",""
"cert_numbers","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","1","",""
"cert_signatureAlgorithm","quefairedemesdechets.ademe.fr/109.232.233.130","443","OK","SHA256 with RSA","",""
"cert_keySize","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","042BD7022961F85A6F09DE6A5F3BE27796E9","",""
"cert_serialNumberLen","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","18","",""
"cert_fingerprintSHA1","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","731D61090AA55D6C7DD742753C2BEADB80FA62C1","",""
"cert_fingerprintSHA256","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","05D450AD61BF2A7FC0953241AF25EE618B83D87D5D29BA56DA24B42475E45905","",""
"cert","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFCTCCA/GgAwIBAgISBCvXAilh+FpvCd5qXzvid5bpMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTAwHhcNMjUwMTI5MTYxMjQyWhcNMjUwNDI5MTYxMjQxWjAoMSYwJAYDVQQDEx1xdWVmYWlyZWRlbWVzZGVjaGV0cy5hZGVtZS5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAMC87Iv641qeBGrdNBHyZMZCJDS0rLbpJRcO2CZ7TbnupWd2+fH1SJypw99+4MxZuoH5wPG9JJOeMspB8b50W6JBtUWSy9CZrIHDKU+jV9xTTnKnHHEoK9goDlakiROJ0KiZm+KycLV9M15sIi6m2bcvFOL5ODYaw1HxkMPjqUD8yu7qga3kPFtAnnBYmdlBW1vlj0AlpSexqhRh+Hfr69vikpsjypqSMy3qKRavJg+Cr8GdQius7qTKfYtSyfIWJhHugaOyrqk2A1q77olmJ6kQAB/weRZDs8bW4kvkZPVMIyJbzZxsYEKsth/lw5DOlFWcQtHSDx5OKRXszmPEi2sCAwEAAaOCAiAwggIcMA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUZq+lmiX8fhMWG6RkvGYVwEwPPq0wHwYDVR0jBBgwFoAUu7zDR6XkvKnGw6RyDBCNojXhyOgwVwYIKwYBBQUHAQEESzBJMCIGCCsGAQUFBzABhhZodHRwOi8vcjEwLm8ubGVuY3Iub3JnMCMGCCsGAQUFBzAChhdodHRwOi8vcjEwLmkubGVuY3Iub3JnLzAoBgNVHREEITAfgh1xdWVmYWlyZWRlbWVzZGVjaGV0cy5hZGVtZS5mcjATBgNVHSAEDDAKMAgGBmeBDAECATCCAQMGCisGAQQB1nkCBAIEgfQEgfEA7wB1AObSMWNAd4zBEEEG13G5zsHSQPaWhIb7uocyHf0eN45QAAABlLMLpYgAAAQDAEYwRAIgee3fxkbI2fBZ8/e82R6ReQRAQbIlQ9JwZ9oG/Kk81u4CIB5olskRNLXT7Av3zi0YICjeGR14eR5FPXhZgfloQoxKAHYAouMK5EXvva2bfjjtR2d3U9eCW4SU1yteGyzEuVCkR+cAAAGUswulhwAABAMARzBFAiEAmJefyrj5car4CnzQYWSgJlh/bJeLbeahLIoYK3UNSDACIHrxuJ5gg/LenSlMoiH7kiCRVXSa/5gKcjFQIzGltXmTMA0GCSqGSIb3DQEBCwUAA4IBAQDIdLKUGhM/L8dUkzp0J+yzLD3AJnn6Wr3NQvMYp6qsXEWZ9INt+FDERyjTPACE07BPiBzQM+PfPS38nF/yzO1yON6etqd/p9/hPrAKbF0D2ke2clZRkGfaESopLFhA/Uvk9trpOeow/JfH+418LV08vYQhLv1uinRmtZZIcJD/dFrYEcE+wknb9jVRmP6YjHG6xar6GOpE+Wuu/XOe/pyRVTm+xYJt1UhJ5s0/Qmi0Cn4A22D76pOU8VtQ5vd3lcKANABIIuh6+vUOxT9NQsZ4xOyr6Ea9JtJJHZ4Azyz94keCjH5rp9oZ3+rdfzsXl5dxaUbegR4bVG0Kp8r7UoMQ\n-----END CERTIFICATE-----","",""
"cert_commonName","quefairedemesdechets.ademe.fr/109.232.233.130","443","OK","quefairedemesdechets.ademe.fr","",""
"cert_commonName_wo_SNI","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","*.osc-fr1.scalingo.io","",""
"cert_subjectAltName","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","quefairedemesdechets.ademe.fr","",""
"cert_trust","quefairedemesdechets.ademe.fr/109.232.233.130","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_trust_wildcard","quefairedemesdechets.ademe.fr/109.232.233.130","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","quefairedemesdechets.ademe.fr/109.232.233.130","443","OK","passed.","",""
"cert_certificatePolicies_EV","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","no","",""
"cert_expirationStatus","quefairedemesdechets.ademe.fr/109.232.233.130","443","OK","58 >= 30 days","",""
"cert_notBefore","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","2025-01-29 16:12","",""
"cert_notAfter","quefairedemesdechets.ademe.fr/109.232.233.130","443","OK","2025-04-29 16:12","",""
"cert_extlifeSpan","quefairedemesdechets.ademe.fr/109.232.233.130","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","not present","",""
"cert_crlDistributionPoints","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","--","",""
"cert_ocspURL","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","http://r10.o.lencr.org","",""
"OCSP_stapling","quefairedemesdechets.ademe.fr/109.232.233.130","443","LOW","not offered","",""
"cert_mustStapleExtension","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","--","",""
"DNS_CAArecord","quefairedemesdechets.ademe.fr/109.232.233.130","443","LOW","--","",""
"certificate_transparency","quefairedemesdechets.ademe.fr/109.232.233.130","443","OK","yes (certificate extension)","",""
"certs_countServer","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","2","",""
"certs_list_ordering_problem","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","no","",""
"cert_caIssuers","quefairedemesdechets.ademe.fr/109.232.233.130","443","INFO","R10 (Let's Encrypt from US)","",""
