"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","quefairedemesobjets.ademe.fr/109.232.236.90","443","INFO","HTTP","",""
"pre_128cipher","quefairedemesobjets.ademe.fr/109.232.236.90","443","INFO","No 128 cipher limit bug","",""
"SSLv2","quefairedemesobjets.ademe.fr/109.232.236.90","443","OK","not offered","",""
"SSLv3","quefairedemesobjets.ademe.fr/109.232.236.90","443","OK","not offered","",""
"TLS1","quefairedemesobjets.ademe.fr/109.232.236.90","443","INFO","not offered","",""
"TLS1_1","quefairedemesobjets.ademe.fr/109.232.236.90","443","INFO","not offered","",""
"TLS1_2","quefairedemesobjets.ademe.fr/109.232.236.90","443","OK","offered","",""
"TLS1_3","quefairedemesobjets.ademe.fr/109.232.236.90","443","OK","offered with final","",""
"ALPN_HTTP2","quefairedemesobjets.ademe.fr/109.232.236.90","443","OK","h2","",""
"ALPN","quefairedemesobjets.ademe.fr/109.232.236.90","443","INFO","http/1.1","",""
"cipherlist_NULL","quefairedemesobjets.ademe.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","quefairedemesobjets.ademe.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","quefairedemesobjets.ademe.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_LOW","quefairedemesobjets.ademe.fr/109.232.236.90","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","quefairedemesobjets.ademe.fr/109.232.236.90","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","quefairedemesobjets.ademe.fr/109.232.236.90","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","quefairedemesobjets.ademe.fr/109.232.236.90","443","INFO","not offered","",""
"cipherlist_STRONG_FS","quefairedemesobjets.ademe.fr/109.232.236.90","443","OK","offered","",""
"cipher_order-tls1_2","quefairedemesobjets.ademe.fr/109.232.236.90","443","OK","server","",""
"cipherorder_TLSv1_2","quefairedemesobjets.ademe.fr/109.232.236.90","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","quefairedemesobjets.ademe.fr/109.232.236.90","443","OK","server","",""
"FS","quefairedemesobjets.ademe.fr/109.232.236.90","443","OK","offered","",""
"FS_ciphers","quefairedemesobjets.ademe.fr/109.232.236.90","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","quefairedemesobjets.ademe.fr/109.232.236.90","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","quefairedemesobjets.ademe.fr/109.232.236.90","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
