"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","staging.plusfraichemaville.fr/148.253.75.120","443","INFO","HTTP","",""
"pre_128cipher","staging.plusfraichemaville.fr/148.253.75.120","443","INFO","No 128 cipher limit bug","",""
"SSLv2","staging.plusfraichemaville.fr/148.253.75.120","443","OK","not offered","",""
"SSLv3","staging.plusfraichemaville.fr/148.253.75.120","443","OK","not offered","",""
"TLS1","staging.plusfraichemaville.fr/148.253.75.120","443","INFO","not offered","",""
"TLS1_1","staging.plusfraichemaville.fr/148.253.75.120","443","INFO","not offered","",""
"TLS1_2","staging.plusfraichemaville.fr/148.253.75.120","443","OK","offered","",""
"TLS1_3","staging.plusfraichemaville.fr/148.253.75.120","443","OK","offered with final","",""
"ALPN_HTTP2","staging.plusfraichemaville.fr/148.253.75.120","443","OK","h2","",""
"ALPN","staging.plusfraichemaville.fr/148.253.75.120","443","INFO","http/1.1","",""
"cipherlist_NULL","staging.plusfraichemaville.fr/148.253.75.120","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","staging.plusfraichemaville.fr/148.253.75.120","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","staging.plusfraichemaville.fr/148.253.75.120","443","OK","not offered","","CWE-327"
"cipherlist_LOW","staging.plusfraichemaville.fr/148.253.75.120","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","staging.plusfraichemaville.fr/148.253.75.120","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","staging.plusfraichemaville.fr/148.253.75.120","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","staging.plusfraichemaville.fr/148.253.75.120","443","INFO","not offered","",""
"cipherlist_STRONG_FS","staging.plusfraichemaville.fr/148.253.75.120","443","OK","offered","",""
"cipher_order-tls1_2","staging.plusfraichemaville.fr/148.253.75.120","443","OK","server","",""
"cipherorder_TLSv1_2","staging.plusfraichemaville.fr/148.253.75.120","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","staging.plusfraichemaville.fr/148.253.75.120","443","OK","server","",""
"FS","staging.plusfraichemaville.fr/148.253.75.120","443","OK","offered","",""
"FS_ciphers","staging.plusfraichemaville.fr/148.253.75.120","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","staging.plusfraichemaville.fr/148.253.75.120","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","staging.plusfraichemaville.fr/148.253.75.120","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","staging.plusfraichemaville.fr/148.253.75.120","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","staging.plusfraichemaville.fr/148.253.75.120","443","INFO","yes","",""
"sessionresumption_ticket","staging.plusfraichemaville.fr/148.253.75.120","443","INFO","not supported","",""
"sessionresumption_ID","staging.plusfraichemaville.fr/148.253.75.120","443","INFO","not supported","",""
"TLS_timestamp","staging.plusfraichemaville.fr/148.253.75.120","443","INFO","random","",""
"certificate_compression","staging.plusfraichemaville.fr/148.253.75.120","443","INFO","none","",""
"clientAuth","staging.plusfraichemaville.fr/148.253.75.120","443","INFO","none","",""
"cert_numbers","staging.plusfraichemaville.fr/148.253.75.120","443","INFO","1","",""
"cert_signatureAlgorithm","staging.plusfraichemaville.fr/148.253.75.120","443","OK","SHA256 with RSA","",""
"cert_keySize","staging.plusfraichemaville.fr/148.253.75.120","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","staging.plusfraichemaville.fr/148.253.75.120","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","staging.plusfraichemaville.fr/148.253.75.120","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","staging.plusfraichemaville.fr/148.253.75.120","443","INFO","0323DFFDE192DE087256264AB0F21FB986BB","",""
